@RELATION Model_Fear_gradientboosting_Actors_18
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {fear,other}

@DATA
0.069048,0.006706,3.040907,0.244356,0.227859,0.713909,0.017073,0.130990,-38.141036,1.276131,0.240849,0.056398,-0.054713,-0.055513,0.148026,0.018660,-0.042317,0.052596,-0.108645,-0.047837,-0.030587,0.006017,0.005006,0.013187,0.008170,0.014443,0.005765,0.076031,0.001944,0.005109,0.011380,0.006986,0.003159,0.025858,-0.000159,-0.000000,0.001744,0.000396,0.000072,-0.001267,0.000071,-0.000186,-0.019790,-0.000841,0.006944,0.001832,-0.006489,-0.012749,0.005074,0.001298,-0.001701,0.003232,-0.000437,0.002117,0.000442,-0.000070,-0.000004,-0.000179,-0.000005,-0.000018,-0.000014,0.000248,-0.000003,-0.000018,-0.000076,-0.000032,-0.000004,0.000047,0.055473,0.009881,0.297255,0.077353,0.046810,0.599521,0.035583,0.137063,7.778993,0.783774,0.715011,0.496142,0.505747,0.296695,0.319794,0.233500,0.262820,0.222077,0.241412,0.224637,0.197773,0.006619,0.009106,0.013715,0.013412,0.021800,0.008458,0.039949,0.002663,0.005359,0.012266,0.006966,0.003994,0.012107,0.042927,0.011019,0.417621,0.068771,0.049503,0.495129,0.051216,0.116714,5.721911,0.783968,0.606345,0.398437,0.511568,0.338345,0.358214,0.280498,0.317092,0.239157,0.296588,0.249605,0.240536,0.009614,0.011769,0.015486,0.016290,0.025051,0.011225,0.030188,0.003044,0.007274,0.015716,0.008713,0.005535,0.009128,fear
0.062757,0.005275,2.870549,0.206070,0.190902,0.998551,0.018007,0.260852,-44.262857,1.220051,-0.063487,-0.116004,-0.153949,-0.015534,-0.016276,-0.127245,-0.074972,-0.105752,-0.012219,-0.030144,-0.059938,0.011991,0.003822,0.036877,0.011489,0.017315,0.007902,0.052827,0.002087,0.007214,0.008799,0.010570,0.005416,0.026625,0.001166,0.000000,-0.011747,0.004060,0.003726,0.018772,0.000010,0.005080,0.726462,0.022968,0.002988,0.001868,0.003661,-0.003933,0.002476,0.002128,0.000768,-0.003859,0.001252,0.001473,-0.003076,0.000056,0.000041,0.000078,0.000176,-0.000100,0.000100,-0.000172,0.000024,0.000087,0.000181,0.000259,0.000050,-0.000142,0.044422,0.008953,0.414553,0.097644,0.056904,0.747045,0.058675,0.177355,9.017488,0.658996,0.598633,0.575653,0.299594,0.336893,0.256302,0.244658,0.234616,0.270625,0.254800,0.232489,0.211352,0.012570,0.004908,0.028625,0.014252,0.023332,0.012568,0.039708,0.002058,0.011928,0.008408,0.010044,0.008225,0.015526,0.045818,0.011336,0.577489,0.064722,0.037897,0.604077,0.083530,0.146482,4.598887,0.638508,0.522191,0.539747,0.285696,0.328057,0.310982,0.275096,0.267470,0.300378,0.229683,0.227650,0.243539,0.015529,0.006044,0.038821,0.017799,0.023612,0.018023,0.033622,0.002469,0.013270,0.011053,0.012221,0.011222,0.015840,fear
0.096217,0.005739,2.944066,0.235477,0.228038,1.152665,0.005040,0.260823,-31.116098,1.610486,0.179009,-0.035500,-0.346917,0.075732,0.001327,-0.037115,0.036552,0.043564,0.010630,-0.112111,0.047267,0.015560,0.004940,0.035901,0.010355,0.014375,0.009141,0.018426,0.003113,0.008449,0.011497,0.023091,0.009492,0.015384,-0.001553,0.000000,-0.002817,-0.001991,-0.000482,-0.021093,0.000044,-0.006135,0.049935,0.016010,0.003883,0.007188,0.005446,0.001161,0.000524,-0.005551,0.002450,-0.004978,0.004621,0.001446,-0.003648,0.000081,-0.000107,-0.000061,0.000252,0.000483,0.000248,0.000400,-0.000031,0.000306,-0.000032,0.000317,0.000040,0.000124,0.047812,0.008887,0.419336,0.058481,0.025149,0.563660,0.002926,0.145247,2.382437,0.642883,0.673086,0.460334,0.384842,0.285672,0.275829,0.316699,0.254336,0.215893,0.180740,0.192394,0.160590,0.017386,0.006269,0.030332,0.008059,0.012504,0.009704,0.021300,0.003969,0.009899,0.011318,0.019018,0.010695,0.009382,0.054899,0.011269,0.511791,0.062234,0.023721,0.653551,0.003635,0.168546,2.333960,0.713657,0.512533,0.490296,0.429814,0.300763,0.303832,0.280968,0.246725,0.242502,0.228062,0.231724,0.225529,0.021663,0.007683,0.036158,0.010259,0.016239,0.013237,0.028192,0.005018,0.014129,0.015327,0.022620,0.011847,0.010903,fear
0.073676,0.004923,2.844111,0.222940,0.195511,1.210716,0.017734,0.311629,-44.309504,1.173193,-0.213930,-0.133764,-0.193533,-0.118237,-0.088478,-0.163124,-0.020655,-0.070741,0.045686,-0.116642,-0.034645,0.011666,0.007778,0.014365,0.010806,0.012509,0.008496,0.038341,0.003598,0.008501,0.011241,0.012649,0.005220,0.019386,0.000473,0.000000,-0.010818,0.004299,0.003561,0.018817,0.000009,0.005966,0.705729,0.026764,0.002336,-0.002014,-0.002997,0.004059,-0.001061,-0.004098,0.000949,-0.003949,-0.000355,-0.003322,0.000044,-0.000003,0.000044,0.000443,0.000256,0.000059,0.000073,-0.001758,0.000040,0.000123,0.000138,0.000391,0.000108,-0.000448,0.052060,0.008763,0.520844,0.101822,0.055169,0.719118,0.058188,0.193131,9.197320,0.719758,0.550185,0.517599,0.299075,0.301705,0.341954,0.286804,0.284200,0.252003,0.285576,0.256330,0.174344,0.013586,0.012514,0.015298,0.017998,0.016897,0.012259,0.030128,0.004239,0.011743,0.012868,0.013866,0.006756,0.012260,0.043649,0.009923,0.656965,0.067887,0.038262,0.539818,0.082801,0.145676,4.295019,0.685109,0.513324,0.438009,0.332475,0.280966,0.338722,0.291929,0.359426,0.257639,0.261973,0.229404,0.211745,0.011859,0.017104,0.017764,0.020605,0.018902,0.018688,0.021799,0.004545,0.012706,0.015351,0.015737,0.008970,0.009201,fear
0.066500,0.004114,2.729323,0.248863,0.236346,0.778814,0.007930,0.203035,-35.378622,1.235543,0.022126,0.001258,-0.056992,0.149561,0.117052,0.005818,-0.068285,-0.003296,-0.202731,-0.020426,0.000051,0.004730,0.005195,0.032640,0.007033,0.012195,0.014265,0.090113,0.001820,0.006283,0.006470,0.010301,0.005088,0.032517,-0.000046,-0.000000,0.002759,0.000859,0.000230,0.004412,-0.000001,0.001641,-0.028249,-0.004966,0.003254,-0.005291,-0.005603,-0.003562,-0.000671,-0.004446,0.000606,0.003144,0.002922,0.001896,0.003086,-0.000027,0.000000,-0.000887,-0.000077,-0.000067,-0.000027,0.002440,-0.000012,-0.000016,-0.000027,-0.000010,-0.000005,0.000519,0.052613,0.004709,0.354899,0.072277,0.030715,0.594315,0.005914,0.194677,2.725742,0.706203,0.708409,0.515627,0.427980,0.345839,0.320456,0.274867,0.249378,0.276164,0.233356,0.290135,0.231054,0.006052,0.006775,0.033867,0.007355,0.013945,0.018632,0.043404,0.002811,0.010575,0.009543,0.013486,0.007922,0.014363,0.064932,0.005644,0.485361,0.055645,0.030407,0.649865,0.007298,0.203483,2.424662,0.695082,0.597445,0.481499,0.433631,0.356366,0.313940,0.300490,0.320397,0.322394,0.261313,0.341985,0.306203,0.008226,0.009967,0.048452,0.008602,0.017717,0.020364,0.052265,0.003302,0.012453,0.012170,0.019132,0.010217,0.016917,fear
0.086144,0.006744,3.023309,0.249112,0.218278,1.265008,0.030577,0.301479,-34.435867,0.946531,-0.061860,-0.179655,-0.130615,0.086608,-0.229091,-0.192179,-0.157363,-0.146003,-0.175386,-0.192806,-0.199748,0.006693,0.005469,0.014305,0.022159,0.008463,0.005151,0.024574,0.004508,0.006722,0.008619,0.011149,0.002557,0.016330,-0.000179,-0.000000,0.007678,-0.000151,0.000196,0.010570,-0.000002,0.001632,0.005099,0.009310,-0.007859,-0.003996,0.004580,-0.005465,-0.005259,-0.001906,-0.002559,-0.004588,-0.002291,-0.001172,-0.001958,0.000136,-0.000005,-0.000867,0.000102,0.000031,0.000010,-0.000487,-0.000022,-0.000030,0.000076,0.000043,0.000031,-0.000254,0.047696,0.009449,0.316366,0.069198,0.036430,0.477785,0.071834,0.126094,4.847788,0.907070,0.721264,0.627495,0.311598,0.323148,0.289997,0.294137,0.272267,0.254348,0.361951,0.255161,0.247496,0.006320,0.009249,0.014185,0.037038,0.017569,0.006024,0.027627,0.004905,0.008736,0.011588,0.013581,0.003110,0.014239,0.044638,0.011207,0.451624,0.087940,0.050951,0.587886,0.075689,0.157732,5.743831,0.756819,0.563090,0.562586,0.340723,0.364502,0.303696,0.306519,0.306779,0.305457,0.326170,0.291027,0.312090,0.009703,0.012161,0.014208,0.033725,0.024916,0.009087,0.032560,0.006014,0.010245,0.016032,0.017624,0.004020,0.013322,fear
0.040454,0.007442,3.007384,0.159713,0.202812,0.383601,0.040220,0.068094,-35.750282,1.314185,0.015034,-0.102687,-0.186668,0.245894,0.103970,-0.032415,-0.026172,-0.108444,-0.025053,-0.018781,-0.021214,0.008901,0.002109,0.018853,0.007870,0.006528,0.008034,0.104914,0.002035,0.003158,0.009113,0.012307,0.003181,0.035283,0.000000,0.000000,-0.003718,-0.002655,-0.001200,-0.000611,0.000060,-0.000000,0.100360,0.024059,-0.000178,0.001820,-0.003818,-0.003831,0.002825,0.002254,0.001449,0.001213,-0.001528,0.000780,0.000377,0.000001,0.000000,0.000066,0.000001,0.000003,0.000001,0.000214,0.000000,0.000000,0.000002,0.000005,0.000000,0.000057,0.033770,0.008370,0.268073,0.056357,0.042495,0.352998,0.047551,0.066737,7.340941,0.720807,0.765282,0.481012,0.538592,0.325198,0.296874,0.292032,0.244621,0.257718,0.246702,0.203538,0.198466,0.015501,0.004006,0.022231,0.012487,0.010551,0.016095,0.044360,0.003858,0.003199,0.010316,0.012637,0.003013,0.012798,0.035207,0.009000,0.359758,0.067995,0.055870,0.383286,0.067378,0.076914,7.650958,0.759113,0.548456,0.462930,0.460136,0.339386,0.308079,0.302643,0.249401,0.276079,0.295801,0.266951,0.248638,0.022149,0.005780,0.031652,0.015804,0.015079,0.016551,0.059004,0.004818,0.003234,0.014883,0.013639,0.004198,0.016180,fear
0.059525,0.008848,2.769026,0.226246,0.243383,0.490794,0.015957,0.096134,-34.501359,1.748105,0.089700,0.122465,-0.117394,-0.091982,-0.021458,-0.070974,0.026012,-0.117466,-0.024921,-0.045101,-0.083623,0.009906,0.005513,0.073239,0.013321,0.010119,0.003748,0.097908,0.001693,0.004895,0.003375,0.006869,0.003768,0.040139,0.001043,0.000000,0.007033,-0.001787,-0.001607,0.008487,-0.000008,0.001786,0.091403,-0.049224,-0.025953,0.005521,-0.004242,0.002168,-0.003799,-0.015718,0.005178,0.000539,0.006052,0.011066,0.000422,0.000004,0.000213,-0.001785,0.000132,0.000005,0.000013,-0.004286,0.000033,0.000161,0.000171,0.000005,0.000036,-0.001204,0.043044,0.012327,0.359484,0.069836,0.041619,0.550768,0.017155,0.149891,3.169173,0.860647,0.711904,0.507595,0.332155,0.266113,0.279206,0.283715,0.272102,0.232118,0.270958,0.294791,0.243081,0.014677,0.008632,0.073698,0.014929,0.014067,0.004013,0.066287,0.003037,0.010053,0.003184,0.008739,0.005037,0.020242,0.054668,0.013744,0.474450,0.072780,0.036518,0.666834,0.019607,0.183827,2.131498,0.770228,0.519327,0.425391,0.312210,0.292880,0.272170,0.233086,0.302984,0.285275,0.293608,0.262490,0.251576,0.016650,0.009694,0.078869,0.020120,0.021358,0.005431,0.068518,0.003244,0.013243,0.004300,0.013057,0.005542,0.022336,fear
0.055458,0.005975,2.872303,0.267739,0.246251,1.113200,0.004837,0.304498,-33.249624,1.537594,0.543796,0.238740,-0.232494,0.266120,0.172471,0.035345,0.161748,0.027292,0.025056,0.010276,0.022474,0.013601,0.002239,0.044280,0.006768,0.010083,0.004864,0.065109,0.001741,0.004191,0.009722,0.035927,0.006598,0.027611,0.001839,-0.000000,-0.012817,-0.001587,0.000231,-0.014065,0.000012,-0.005049,0.099588,0.007260,0.000629,0.003949,-0.007775,0.001052,-0.001977,0.001443,0.004853,-0.005773,-0.003606,0.001741,0.002216,0.000035,0.000040,-0.000241,0.000058,0.000298,0.000092,0.002602,-0.000011,0.000048,0.000080,-0.000065,0.000067,0.000637,0.032926,0.008254,0.310597,0.054714,0.026187,0.514440,0.002726,0.141899,2.655172,0.619692,0.545318,0.375395,0.375667,0.242353,0.294176,0.249646,0.232941,0.201451,0.179617,0.194894,0.157204,0.014347,0.001878,0.032805,0.007100,0.007489,0.005569,0.041133,0.002731,0.006216,0.009952,0.027887,0.011334,0.011572,0.033468,0.008787,0.462138,0.046071,0.023305,0.600151,0.003279,0.171949,1.874364,0.594827,0.457559,0.445915,0.401877,0.285174,0.304169,0.331343,0.301372,0.229586,0.242117,0.231501,0.199247,0.015458,0.002366,0.038927,0.007158,0.008180,0.007172,0.039600,0.002947,0.008539,0.013207,0.038838,0.011872,0.012413,fear
0.103335,0.019869,3.014187,0.189627,0.204285,0.937252,0.008156,0.173208,-30.001271,1.403751,-0.236787,-0.322469,-0.450262,0.137449,0.204088,0.065652,0.174995,-0.045856,-0.043936,-0.204935,-0.016066,0.015918,0.006149,0.025073,0.010892,0.008793,0.006759,0.014061,0.002002,0.005060,0.020765,0.026597,0.010879,0.017513,-0.000281,-0.000000,-0.000470,0.000189,0.000415,-0.008968,0.000020,-0.000928,0.004186,0.017003,-0.014391,-0.002544,-0.001419,-0.005302,0.003765,-0.003138,-0.002538,0.005619,0.000907,0.000112,-0.001087,0.000651,0.000028,0.000141,-0.000198,-0.000082,0.000047,-0.000081,0.000017,0.000051,-0.000197,0.000217,-0.000050,0.000017,0.040331,0.027140,0.376372,0.048181,0.025713,0.414747,0.006476,0.103117,1.793541,0.837622,0.659047,0.466184,0.320696,0.335296,0.274380,0.270341,0.279841,0.199546,0.214151,0.191636,0.231095,0.014920,0.006267,0.027168,0.011199,0.011872,0.008319,0.011333,0.001994,0.006543,0.022929,0.026901,0.016259,0.011016,0.037672,0.026577,0.501999,0.046906,0.027561,0.409108,0.007516,0.106996,1.685226,0.753183,0.610652,0.443385,0.363219,0.331974,0.316886,0.311768,0.334217,0.228016,0.255056,0.267099,0.274069,0.018761,0.008924,0.036360,0.012348,0.014480,0.009722,0.013086,0.002719,0.009037,0.022816,0.031806,0.018949,0.013109,fear
